cell5m,gdd
2143667,1169
2143668,1169
2143669,1175
2143670,1180
2143671,1175
2143672,1175
2143673,1175
2143674,1175
2143675,1175
2143676,1137
2143677,1137
2143678,1137
2143679,1137
2143680,1137
2143681,1137
2143682,1137
2143683,1137
2143684,1126
2143685,1126
2143686,1126
2143687,1126
2143688,1126
2143689,1126
2143690,1126
2143691,1115
2143692,1120
2143693,1115
2143694,1115
2143695,1115
2143696,1120
2143697,1120
2143698,1115
2143699,1128
2143700,1128
2143701,1128
2143702,1128
2143703,1128
2143704,1133
2143705,1128
2143706,1201
2143707,1201
2143708,1201
2143709,1201
2143710,1201
2143711,1201
2143712,1201
2143713,1201
2143714,1191
2143715,1245
2143716,1245
2143717,1245
2143718,1245
2143719,1245
2143720,1245
2143721,1172
2143722,1172
2143723,1172
2143724,1172
2143725,1172
2143726,1172
2143727,1172
2143728,1172
2143729,1136
2143730,1136
2143731,1136
2143732,1136
2143733,1136
2143734,1058
2143743,1144
2143744,1147
2143745,1147
2143746,1147
2143747,1147
2143748,1147
2143749,1147
2143750,1147
2143751,1124
2143752,1124
2143753,1124
2147725,878
2147730,878
2147731,878
2147732,878
2147733,878
2147735,725
2147736,725
2147737,725
2147945,1221
2147946,1221
2147948,1221
2147949,1221
2147950,1221
2147973,1098
2147974,1130
2147975,1130
2147976,1125
2147977,1125
2147978,1125
2147979,1125
2147980,1125
2147981,1169
2147982,1169
2147983,1169
2147984,1169
2147985,1169
2147986,1169
2147987,1169
2147988,1169
2147989,1175
2147990,1175
2147991,1180
2147992,1175
2147993,1175
2147994,1175
2147995,1175
2147996,1137
2147997,1137
2147998,1137
2147999,1137
2148000,1137
2148001,1137
2148002,1137
2148003,1137
2148004,1126
2148005,1126
2148006,1126
2148007,1126
2148008,1126
2148009,1126
2148010,1126
2148011,1115
2148012,1115
2148013,1115
2148014,1115
2148015,1115
2148016,1115
2148017,1115
2148018,1115
2148019,1128
2148020,1128
2148021,1128
2148022,1128
2148023,1128
2148024,1128
2148025,1128
2148026,1201
2148027,1201
2148028,1201
2148029,1201
2148030,1201
2148031,1201
2148032,1201
2148033,1201
2148034,1245
2148035,1245
2148036,1245
2148037,1245
2148038,1245
2148039,1245
2148040,1245
2148041,1172
2148042,1172
2148043,1172
2148044,1172
2148045,1172
2148046,1172
2148047,1172
2148048,1172
2148049,1136
2148050,1136
2148051,1136
2148052,1136
2148053,1136
2148054,1136
2148063,1144
2148064,1147
2148065,1147
2148066,1147
2148067,1147
2148069,1147
2148073,1124
2148078,1124
2148079,1120
2148080,1120
2152045,878
2152049,878
2152050,878
2152051,878
2152052,878
2152053,878
2152265,1221
2152266,1221
2152267,1221
2152268,1221
2152269,1221
2152270,1221
2152289,1098
2152290,1098
2152291,1098
2152292,1098
2152293,1098
2152294,1130
2152295,1130
2152296,1125
2152297,1125
2152298,1125
2152299,1125
2152300,1125
2152301,1169
2152302,1169
2152303,1169
2152304,1169
2152305,1169
2152306,1169
2152307,1174
2152308,1169
2152309,1180
2152310,1175
2152311,1175
2152312,1175
2152313,1175
2152314,1175
2152315,1175
2152316,1137
2152317,1137
2152318,1137
2152319,1137
2152320,1137
2152321,1137
2152322,1137
2152323,1137
2152324,1126
2152325,1126
2152326,1126
2152327,1126
2152328,1126
2152329,1126
2152330,1126
2152331,1115
2152332,1115
2152333,1115
2152334,1115
2152335,1115
2152336,1115
2152337,1115
2152338,1115
2152339,1128
2152340,1128
2152341,1128
2152342,1128
2152343,1128
2152344,1128
2152345,1128
2152346,1201
2152347,1201
2152348,1201
2152349,1201
2152350,1201
2152351,1201
2152352,1201
2152353,1201
2152354,1245
2152355,1245
2152356,1245
2152357,1245
2152358,1245
2152359,1245
2152360,1245
2152361,1172
2152362,1172
2152363,1172
2152364,1172
2152365,1172
2152366,1172
2152367,1172
2152368,1172
2152369,1136
2152370,1136
2152371,1136
2152372,1136
2152373,1058
2152383,1144
2152384,1147
2152385,1147
2152393,1124
2152394,1124
2152395,1124
2152396,1124
2152397,1124
2152398,1124
2152399,1120
2152400,1120
2152401,1120
2156368,878
2156370,878
2156371,878
2156372,878
2156584,1221
2156585,1221
2156586,1221
2156587,1221
2156588,1221
2156589,1221
2156590,1221
2156610,1098
2156611,1098
2156612,1098
2156613,1098
2156614,1130
2156615,1130
2156616,1125
2156617,1125
2156618,1125
2156619,1125
2156620,1125
2156621,1169
2156622,1169
2156623,1169
2156624,1169
2156625,1169
2156626,1169
2156627,1174
2156628,1169
2156629,1175
2156630,1175
2156631,1175
2156632,1175
2156633,1175
2156634,1175
2156635,1175
2156636,1137
2156637,1137
2156638,1137
2156639,1137
2156640,1137
2156641,1137
2156642,1137
2156643,1137
2156644,1126
2156645,1126
2156646,1126
2156647,1126
2156648,1126
2156649,1126
2156650,1126
2156651,1115
2156652,1115
2156653,1115
2156654,1115
2156655,1115
2156656,1115
2156657,1115
2156658,1115
2156659,1128
2156660,1128
2156661,1128
2156662,1128
2156663,1128
2156664,1128
2156665,1128
2156666,1201
2156667,1201
2156668,1201
2156669,1201
2156670,1201
2156671,1201
2156672,1201
2156673,1201
2156674,1245
2156675,1245
2156676,1245
2156677,1245
2156678,1245
2156679,1245
2156680,1245
2156681,1172
2156682,1172
2156683,1172
2156684,1172
2156685,1172
2156686,1172
2156687,1172
2156688,1172
2156689,1136
2156690,1136
2156691,1136
2156692,1136
2156693,1058
2156694,1058
2156714,1124
2156715,1124
2156716,1124
2156717,1124
2156718,1124
2156719,1120
2156720,1120
2156721,1120
2160687,878
2160692,878
2160906,1221
2160907,1221
2160908,1221
2160909,1221
2160930,1098
2160931,1098
2160932,1098
2160933,1098
2160934,1130
2160935,1130
2160936,1130
2160937,1125
2160938,1125
2160939,1125
2160940,1125
2160941,1169
2160942,1169
2160943,1169
2160944,1169
2160945,1169
2160946,1169
2160947,1169
2160948,1169
2160949,1175
2160950,1175
2160951,1175
2160952,1175
2160953,1175
2160954,1175
2160955,1180
2160956,1143
2160957,1137
2160958,1137
2160959,1137
2160960,1137
2160961,1137
2160962,1137
2160963,1137
2160964,1126
2160965,1126
2160966,1126
2160967,1126
2160968,1126
2160969,1126
2160970,1126
2160971,1115
2160972,1115
2160973,1115
2160974,1115
2160975,1115
2160976,1115
2160977,1115
2160978,1115
2160979,1128
2160980,1128
2160981,1128
2160982,1128
2160983,1128
2160984,1128
2160985,1128
2160986,1201
2160987,1201
2160988,1201
2160989,1201
2160990,1201
2160991,1201
2160992,1201
2160993,1201
2160994,1191
2160995,1245
2160996,1245
2160997,1245
2160998,1245
2160999,1245
2161000,1245
2161001,1172
2161002,1172
2161003,1172
2161004,1172
2161005,1172
2161006,1172
2161007,1172
2161008,1172
2161009,1136
2161010,1136
2161011,1136
2161012,1136
2161014,1058
2161015,1058
2161016,1066
2161037,1124
2161038,1124
2161039,1120
2161044,1048
2161045,1048
2161046,1010
2165007,1007
2165008,1007
2165012,1007
2165013,1007
2165014,839
2165015,839
2165226,1288
2165227,1288
2165228,1288
2165229,1288
2165250,1191
2165251,1191
2165252,1191
2165253,1191
2165254,1169
2165255,1169
2165256,1169
2165257,1164
2165258,1164
2165259,1164
2165260,1164
2165261,1177
2165262,1177
2165263,1177
2165264,1177
2165265,1177
2165266,1177
2165267,1177
2165268,1177
2165269,1207
2165270,1212
2165271,1207
